ItemNumber,sentence,checkNoteRelevant
0705A,tech makes these.,
0705A,"Parts in kit: CD4013N (Syntaur #3322), 0.1 uF ceramic disc capacitor, 2x 10K 1/4W resistors, 2x 33K 1/4W resistors, 2x 100K 1/4W resistors, 2x 1.2K 1/4 resistors, 50KB potentiomter (Syntaur #13207), 2x knobs (Syntaur #7351)",
0705B,"Parts in kit: CD4013N (Syntaur #3322), 0.1 uF ceramic disc capacitor, 2x 10K 1/4W resistors, 2x 33K 1/4W resistors, 2x 100K 1/4W resistors, 50KB potentiomter (Syntaur #13207), 2x knobs (Syntaur #7351)",
10000,-- ALL ORDERS FOR THIS HAVE BEEN TEST ORDERS --,
10003,CHANGE TO NEW WHEN RESTOCKED,
10005,"Make sure this ordered cable matches the photo - if not, give to Sam",
10012,CHANGE TO NEW WHEN RESTOCKING,
10013,ADD PHOTO.,
10013,*** WARNING very likely this is wrong item (they keep sending us #10090).MM  PLEASE CLARIFY WITH SAM OR MARY before shipping.,
10014,"7.29.22 Added XPS-30, not found in SM for XPS-10.MM.",
10014,"3.16.23 Added Fantom 6, 7, and 8
Mouser does not have RK09K1110D4S.",
10014,SM.2.3.24 -4.3.24 Roland shows -1,
10015,CHANGE TO NEW WHEN RESTOCKING,
10016,"Package as PCB only, no contact strips.",
10016,"Contact strips used are #9636, 9938, 10018, 10031, 10039",
10017,"Nearly identical to 3551 - they can probably be subbed, but 3551 has thicker indicator line.",
10018,"Cut # 9636 to get three of these, take out of stock as # 9636",
10020,CHANGE TO NEW WHEN RESTOCKING,
10022,"Restock from RA #3718 - 10/16/23 TP, in transit 9.16.24",
10023,11.9.23 Roland site shows -1.MM.,
10023,1.22.24-2.26.25 none avail,
10029,"Note that there are different versions of this PSU, so they may look different from the photo.",
1003,Overstock is in U4,
10031,"We get these with contact board set #10142, 10016 and 10038.",
10031,This short strip can be cut from #9636,
10037,"Sweet Discrete pricing is 17% disc for 10-15 pcs, 24% disc for 16-40 pcs
sweetdiscrete.co.uk",
10038,10-pack of these in U5.,
10038,"Contact strips used are #9636, 9938, 10018, 10031, 10039",
10039,"We get these with contact board set #10142, 10016 and 10038.",
10039,Can cut # 9636 if necessary,
1004,"1004, 3031, 3277, 4406, 5509 are identical except for color.",
1004,"8.13.24 We only have 3277, M1R added 3.31.25 KM",
10042,"Backorder was 6 wks, part # nla supplier changed 3.5.25.",
10042,3.5.25 Yamaha verified nla,
10043,"12.21.21 No models have been assigned, until we know for sure.",
10043,There is one of these on Mary's desk,
1005,*** TAKE PHOTO WHEN THIS PART BECOMES AVAILABLE ***,
10052,"10.13.22 Sweet Discrete pricing is 17% disc for 10-15 pcs, 24% disc for 16-40 pcs",
10054,"Sweet Discrete pricing is 17% disc for 10-15 pcs, 24% disc for 16-40 pcs",
10056,6.24.22 New SO part,
10058,From Oberheim stock,
10059,"Sweet Discrete pricing is 17% disc for 10-15 pcs, 24% disc for 16-40 pcs",
1006,"Same as 3458, except for LED window",
1008,"Identical to #9910, #4416 except for color",
10083,12.26.24-1.28.25 none avail,
10086,Have tech check please.,
10086,4.26.23 Cost from $292.85 to $305.95.,
10086,2.29.24 In transit for 3/1 delivery,
10088,"WHEN RESTOCKED, CHANGE TO NEW AND RAISE PRICE",
10090,"We got these from AM&S in error, when we ordered #10013.",
10104,Frequent Backorder 2 - 3 mos,
10106,"7.3.22 If these are Roland part numbers, they are NLA.MM",
1012,"7.6.21 Fourteen on waitlist, putting one in stock",
10120,10.31.23-2.3.24 Roland shows NLA.MM,
10124,4.7.23 Korg canceled our order for this part.,
10124,"Not on website under any models.MM , 'contact me' on Korg so changed supplier 9.28.23 KM  11.21.23 Korg emailed they have discontinued and canceled 2-22052.MM, Cx3 later added 7.22.24 KM",
1013,ADD PHOTO,
10142," **AMS-26051530 COMES W # 10142, #10016, #10038 BOARDS and 10039, 10031, 10018, 9636 and 9938 STRIPS and # 6998 #12101 #12102 RIBBON CABLES, so check in for 11 part #s** Cost increase from $ 74.12 to $ 85.03.MM  1 missing 10/29/24, SM",
10157,Not found at Mouser.SM.,
10157,11.19.23-1.28.25 none avail,
1016,ADD PHOTO.,
1016,Uses nut #7364,
10167,New part 10.17.23,
10168,5.16.23 First sale of this part number was for something else.,
10168,"Count so far is ONE SOLD This part came with the LED lenses loose in the packaging, so reassure customer that the pieces go back in easily if they have come loose in transit to him.MM",
10169,ADD PHOTO & LOCATION.,
1017,"4.20.21 NLA from Korg.MM  Uses #6362 nut, bo on Korg so changing supplier 9.28.23 KM.",
1017,"8.19.24 Korg confirmed nla, so canceled 2-22499",
10175,Frequent Backorder 7 mos  6.17.22 New today,
10176,"Frequent Backorder 4+ mos, Similar to #4484, #5125 except for stem length and texture  4.8.22 New product 12.3.24 4-22656 in transit, eta 12/9/24, leaving 3-22499 and 4-22656 on BO",
10177,Backorder 4 mos  4.8.22 New product  1.9.23-7.18.23 Backordered.,
10177,2.25.25 Backordered,
10178,4.9.22 New product  Backorder was 5 mos.,
10178,11.29.23-5.28.24 Backordered.,
10178,11.25.24 2-22566 still on BO,
1018,"4/30/18 - Discontinued, but still available from Korg.",
1018,12/10/23 - Is it still available?,
1018,SM <- no 12.11.23 supplier changed KM,
10180,1.18.22 Yamaha says NLA and no replacement.,
10180,ADD PHOTO WHEN AVAILABLE,
10185, Frequent backorder 3 mos  11.21.24 7-22588 still on BO,
10186,Backorder was 2+ mos.,
10187,2/28/23 new part.,
10187,2 in transit 11.15,
10188,"MAKE SURE ALL LED LENSES ARE INTACT - take a close look at the photo here if any are detached, and re-attach them.",
10189,ADD PHOTO and cost,
1019,7.13.22 Bernadette confirmed NLA.MM,
10191,"#2092 is the same, but with longer lead.",
10191,8.11.24 Verified price and availability.MM,
10193,Backorder 3 mos  1.4.24 Yamaha will not sell to us unless we have the following from the customer: provide the serial numbers and the troubleshooting steps involved in determining the need for this part.,
10193,Must reach out to parts department directly to get this part.,
10193,**There are two on Mary's desk but we need to get info from the customer**,
10194,Tyros 2 added from packing list 11.25.24 KM,
10196,ADD PHOTO WHEN AVAILABLE,
10197,This should also work with the Emax I (part #2619); the difference is the length of the ribbon cable.,
10198,"NEED PHOTO, location, and number of notes",
10199,in transit 9.13.24,
10200,"Same as #2761, except #10200 has small connector at CN2 installed.",
10201,cost increase from 15.30 to 25.55 increased price from 39.95 to 59.95 6.5.24 KM.,
10201,6.28.24 1-22388 rec'd even though we already rec'd on 6/5/24.MM,
